"fin" "slice" "csa" "second_moment_min" "second_moment_max"
"Aligned_ray2_d" 31 0.053 0.00019 0.000823
"Aligned_ray2_d" 32 0.051 0.000182 0.000834
"Aligned_ray2_d" 33 0.046 0.000137 0.000729
"Aligned_ray2_d" 34 0.045 0.000126 0.000695
"Aligned_ray2_d" 35 0.044 0.000122 0.000712
"Aligned_ray2_d" 36 0.045 0.000121 0.000703
"Aligned_ray2_d" 37 0.044 0.000121 0.000691
"Aligned_ray2_d" 38 0.045 0.00013 0.000702
"Aligned_ray2_d" 39 0.045 0.000129 0.000702
"Aligned_ray2_d" 40 0.043 0.000117 0.000682
"Aligned_ray2_d" 41 0.045 0.000129 0.000696
"Aligned_ray2_d" 42 0.044 0.000122 0.000663
"Aligned_ray2_d" 43 0.045 0.000128 0.000709
"Aligned_ray2_d" 44 0.046 0.000128 0.000746
"Aligned_ray2_d" 45 0.048 0.000146 0.000806
